site_code,start_date,parm_cd
05418400,2013-08-07T04:59:00Z,00095
05420500,2021-08-02T19:00:00Z,00095
05422405,2018-04-24T15:30:00Z,00095
05422410,2018-04-08T04:00:00Z,00095
05451080,2009-06-02T04:30:00Z,00095
05451210,2011-11-29T05:45:00Z,00095
05464420,2022-05-25T18:15:00Z,00095
05474500,2022-05-25T18:45:00Z,00095
05490500,2021-10-12T22:37:00Z,00095
06601200,2007-11-21T05:30:00Z,00095
06610505,2022-05-25T18:45:00Z,00095
06889110,2022-05-25T18:30:00Z,99133
06892350,2022-05-25T18:15:00Z,99133
06892513,2019-01-13T13:15:00Z,99133
07143672,2022-05-25T17:00:00Z,99133
07144100,2022-05-25T18:45:00Z,99133
07144780,2018-10-12T11:00:00Z,99133
06856600,2022-05-25T18:30:00Z,00095
06887000,2020-10-14T16:30:00Z,00095
06887500,2014-06-10T04:45:00Z,00095
06887500,2022-05-25T18:45:00Z,00095
06888990,2022-05-25T18:15:00Z,00095
06889110,2022-05-25T18:30:00Z,00095
06889160,2022-05-25T18:30:00Z,00095
06892350,2014-06-10T04:45:00Z,00095
06892350,2022-05-25T18:15:00Z,00095
06892495,2021-01-05T21:45:00Z,00095
06892513,2021-01-05T17:00:00Z,00095
06892518,2022-05-25T18:45:00Z,00095
06893100,2022-01-12T16:30:00Z,00095
06893300,2013-07-10T04:45:00Z,00095
06893350,2013-08-05T04:45:00Z,00095
06893390,2014-09-24T04:45:00Z,00095
06893390,2020-02-03T19:30:00Z,00095
07137500,2022-05-25T18:15:00Z,00095
07143672,2017-01-24T05:00:00Z,00095
07143672,2022-05-25T18:00:00Z,00095
07144100,2015-03-11T04:00:00Z,00095
07144100,2015-06-28T04:00:00Z,00095
07144100,2022-05-25T18:45:00Z,00095
07144780,2015-11-13T05:00:00Z,00095
07144780,2022-05-25T18:15:00Z,00095
07179750,2020-07-01T15:15:00Z,00095
07182250,2009-05-19T04:45:00Z,00095
07182250,2021-06-30T14:45:00Z,00095
07182390,2015-11-12T05:45:00Z,00095
07182390,2022-05-25T18:15:00Z,00095
07182510,2015-10-22T04:45:00Z,00095
07182510,2022-05-25T18:45:00Z,00095
07183000,2015-10-29T04:45:00Z,00095
07183500,2015-11-05T05:45:00Z,00095
385446094430700,2013-07-10T04:45:00Z,00095
385520094420000,2013-07-10T04:45:00Z,00095
385608094380300,2013-07-11T04:45:00Z,00095
03254520,2022-05-25T05:00:00Z,99133
03290500,2022-05-25T18:30:00Z,99133
03302060,2022-05-25T18:30:00Z,99133
03311000,2017-12-27T13:15:00Z,99133
03321500,2022-05-16T22:00:00Z,99133
03238140,2016-10-04T03:45:00Z,00095
03238745,2016-10-04T03:45:00Z,00095
03238772,2016-10-05T03:45:00Z,00095
03254480,2013-10-01T04:45:00Z,00095
03254520,2022-05-25T18:30:00Z,00095
03254550,2013-10-01T04:45:00Z,00095
03254693,2017-10-19T19:00:00Z,00095
03260015,2014-10-01T04:45:00Z,00095
03260050,2014-10-01T04:45:00Z,00095
03260100,2014-10-01T04:45:00Z,00095
03262001,2014-10-01T04:45:00Z,00095
03277075,2015-10-01T04:00:00Z,00095
03277130,2015-10-01T04:00:00Z,00095
03277200,2022-05-25T18:45:00Z,00095
03277200,2022-05-25T18:55:00Z,00095
03284533,2020-07-30T15:00:00Z,00095
03284552,2019-07-16T18:00:00Z,00095
03287590,2022-05-25T19:00:00Z,00095
03288180,2017-06-25T12:20:00Z,00095
03289000,2013-10-01T04:45:00Z,00095
03289200,2021-07-20T14:45:00Z,00095
03290500,2022-05-25T18:30:00Z,00095
03292470,2022-05-25T18:15:00Z,00095
03292474,2022-05-25T18:30:00Z,00095
03292475,2022-05-25T18:30:00Z,00095
03292480,2022-05-25T17:15:00Z,00095
03292500,2022-05-25T18:45:00Z,00095
03292555,2022-05-25T18:15:00Z,00095
03292900,2022-05-25T18:15:00Z,00095
03293000,2022-05-25T18:45:00Z,00095
03293500,2022-05-25T18:15:00Z,00095
03293510,2022-05-25T18:45:00Z,00095
03293530,2022-05-25T18:45:00Z,00095
03294570,2022-05-25T18:15:00Z,00095
03297800,2022-05-25T18:15:00Z,00095
03297900,2022-05-25T18:45:00Z,00095
03298000,2022-05-25T18:15:00Z,00095
03298135,2022-05-25T18:45:00Z,00095
03298150,2022-05-25T18:45:00Z,00095
03298200,2022-05-25T18:15:00Z,00095
03298250,2022-05-25T18:15:00Z,00095
03298300,2022-05-25T18:15:00Z,00095
03301900,2022-05-25T18:15:00Z,00095
03301940,2022-05-25T18:15:00Z,00095
03302000,2022-05-25T18:15:00Z,00095
03302030,2022-05-25T18:15:00Z,00095
03302050,2022-05-25T18:15:00Z,00095
03302060,2022-05-25T18:30:00Z,00095
03311000,2018-01-31T05:45:00Z,00095
03321500,2022-05-25T18:15:00Z,00095
03400800,2022-05-25T18:30:00Z,00095
03410590,2017-08-03T15:00:00Z,00095
07374000,2022-05-25T18:00:00Z,99133
07374000,2022-05-25T18:00:00Z,00095
01018035,2019-10-08T18:30:00Z,00095
01021050,2021-10-01T05:00:00Z,00095
01036390,2013-10-01T03:00:00Z,00095
01493112,2019-11-04T13:00:00Z,99133
01579550,2021-09-08T14:15:00Z,99133
01579550,2022-05-25T19:00:00Z,99133
01646500,2019-06-11T15:00:00Z,99133
01646500,2022-05-25T19:00:00Z,99133
01493112,2019-11-04T15:30:00Z,00095
01579550,2022-05-25T19:05:00Z,00095
01581752,2022-05-22T21:35:00Z,00095
01585075,2022-05-25T19:05:00Z,00095
01585219,2022-05-25T18:50:00Z,00095
01589290,2022-05-25T18:50:00Z,00095
01636845,2020-07-06T12:40:00Z,00095
01636846,2020-07-01T13:55:00Z,00095
01638500,2022-05-25T18:45:00Z,00095
01642198,2022-05-25T18:35:00Z,00095
01642199,2022-05-25T19:10:00Z,00095
01646500,2019-05-27T20:00:00Z,00095
01646500,2019-10-01T16:45:00Z,00095
01646500,2022-05-25T18:45:00Z,00095
01649190,2022-05-25T19:05:00Z,00095
01649500,2022-05-25T19:05:00Z,00095
01650800,2022-05-25T19:05:00Z,00095
01651000,2022-05-25T18:30:00Z,00095
01651730,2022-05-25T19:00:00Z,00095
01658000,2011-06-27T04:45:00Z,00095
01161280,2022-05-25T19:00:00Z,99133
01095220,2022-05-25T18:30:00Z,00095
01095375,2022-05-25T18:30:00Z,00095
01095434,2022-05-25T18:20:00Z,00095
010965305,2020-08-31T14:45:00Z,00095
01100475,2020-07-27T15:30:00Z,00095
01100671,2020-09-29T20:00:00Z,00095
01104370,2022-05-25T18:40:00Z,00095
01104405,2022-05-25T18:40:00Z,00095
01104410,2022-05-25T18:30:00Z,00095
01104415,2022-05-25T18:30:00Z,00095
01104420,2022-05-25T18:30:00Z,00095
01104430,2022-05-25T18:45:00Z,00095
01104430,2022-05-25T19:00:00Z,00095
01104433,2007-10-17T03:55:00Z,00095
01104453,2022-05-25T18:40:00Z,00095
01104455,2022-05-25T18:40:00Z,00095
01104460,2022-05-25T18:40:00Z,00095
01104475,2022-05-25T18:30:00Z,00095
01104480,2016-10-19T04:45:00Z,00095
01108000,2020-10-05T13:30:00Z,00095
01108410,2020-10-05T15:15:00Z,00095
01111230,2014-10-01T05:00:00Z,00095
01161280,2022-02-23T16:15:00Z,00095
01168250,2022-05-25T18:30:00Z,00095
04165500,2022-01-19T20:03:00Z,99133
04166500,2022-05-25T19:02:00Z,99133
04168400,2022-05-25T18:03:00Z,99133
04040000,2022-05-25T18:15:00Z,00095
04043097,2022-05-25T18:30:00Z,00095
04043126,2013-10-01T04:45:00Z,00095
